,e_load,t_load,PV panel,battery storage,water tank,HP,HP
0,0.21567293553130604,0.32426092974498805,0.0,0.185587870826624,0.324260929744989,0.0,0.0
1,0.20493141010757698,0.316306961580616,0.0,0.173652842578036,0.316306961580641,0.0,0.0
2,0.195944828186673,0.31612527553410497,0.0,0.16366775155483,0.316125275534095,0.0,0.0
3,0.18695824626576896,0.32231904138421,0.0,0.153682660531581,0.32231904138421,0.0,0.0
4,0.177869263214922,0.33779902978328197,0.0,0.143583790475087,0.337799029783287,0.0,0.0
5,0.170589198646721,0.35979701077560605,0.0,0.135494829843818,0.359797010775633,0.0,0.0
6,0.16786270550709304,0.411539799237144,0.0,0.132465393021941,0.411539799237144,0.0,0.0
7,0.16513621236746398,0.5039122687278479,0.0,0.129435956200172,0.503912268727819,0.0,0.0
8,0.165110990414276,0.6683803682076441,0.0,0.129407931807703,0.668380368207644,0.0,0.0
9,0.173984073545833,0.9653517547195121,0.0174786982535072,0.119846137227759,0.965351754719524,0.0,0.0
10,0.191539814062379,1.44023587001845,0.0599559998230771,0.0921555138355097,1.44023587001846,0.0,0.0
11,0.221209658695147,2.10269778315896,0.127279474200685,0.0503181474523562,2.10269778315896,0.0,0.0
12,0.24756912197198302,2.461506412485,0.227223077295594,0.0,2.37661299115212,0.0282978071109594,0.0848934213328782
13,0.266449771689498,2.50967963327606,0.336591966803367,0.0,2.15332149257243,0.118786046901211,0.35635814070363303
14,0.281739319712096,2.26517341790507,0.437348532607742,0.0,1.65241422385611,0.204253064682988,0.6127591940489641
15,0.292791579599102,1.99158290580163,0.733673440207899,0.0,0.523005768613195,0.489525712396145,1.468577137188435
16,0.30369553440136204,1.61896545273784,1.09269809677558,0.0,-0.893973789746836,0.837646414161559,2.512939242484677
17,0.31469482818667305,1.51804780922627,1.05265968333436,0.0,-0.841778311578823,0.786608706935031,2.359826120805093
18,0.316663401633,1.43040793879046,1.54013244799763,-0.715779226699634,0.0,0.476802646263487,1.4304079387904611
19,0.319108669994582,1.3697978396880701,1.95776663490083,0.0,-3.69210761039272,1.6873018166936,5.0619054500808005
20,0.322043874796842,1.32130646037773,2.12330616661573,0.0,-4.22841197044098,1.84990614360624,5.54971843081872
21,0.32365114376375104,1.2949769289527702,2.17551361561422,0.0,-4.40654204196065,1.90050632363781,5.70151897091343
22,0.326682822536955,1.29121588857502,2.25841040689503,-0.066797096711915,-4.4272414308215,1.90615243979884,5.718457319396521
23,0.337028867734695,1.35732119001877,2.30680709319289,-0.101042673702028,-4.36113612937775,1.90615243979884,5.718457319396521
24,0.337333422819441,1.31669142492282,2.30901733555925,-0.102757792255504,-4.40176589447362,1.90615243979881,5.71845731939643
25,0.33505146660475205,1.3277040700306102,2.28033499496592,-0.0789974463147336,-4.39075324936581,1.90615243979881,5.71845731939643
26,0.324546523101927,1.3436546612772802,2.22345301038801,-0.0372581093471277,-4.37480265811924,1.90615243979884,5.718457319396521
27,0.320715308412661,1.36303871924829,2.1333411750607,-1.67514274659184,1.36303871924829,0.0,0.0
28,0.317106551350515,1.38242277721931,2.00811951271835,0.0,-3.83654766224623,1.73965681315518,5.21897043946554
29,0.316718133271419,1.5102425629786,1.84473941320046,-0.965925849651165,-8.17444524530661e-15,0.503414187659536,1.510242562978608
30,0.333215308412661,1.74451370756059,1.64678299344563,-0.702636270870099,0.0,0.581504569186863,1.744513707560589
31,0.358780280164074,2.01769289622484,1.43353271271897,-0.405748787040562,0.0,0.672564298741613,2.017692896224839
32,0.386093133271418,2.32480307655561,1.27673253013082,-0.147914000815382,-1.69333073078764e-14,0.774934358851876,2.324803076555628
33,0.424401749090627,2.60079606720982,0.724171938541023,0.0,1.55555394349659,0.348414041237743,1.045242123713229
34,0.44278451745221004,2.61513429104121,0.621738637148376,0.0,1.93234037659069,0.227597971483507,0.682793914450521
35,0.458391862084978,2.56006513207738,0.454801825776578,0.0,2.42490368564056,0.0450538154789414,0.1351614464368242
36,0.46971954570079705,2.44005773562768,0.238985631498171,0.202322291572538,2.44005773562768,0.0,0.0
37,0.46153451745221,2.33860121070304,0.133605340283713,0.310317028201284,2.33860121070304,0.0,0.0
38,0.43063762479684203,2.18559171513841,0.0789844082415027,0.336677071964442,2.18559171513841,0.0,0.0
39,0.40518867403009495,2.0403351244264902,0.0158781779192471,0.378518493692799,2.04033512442645,0.0,0.0
40,0.38412455982509097,1.89235283374277,0.00251510338240876,0.369961782950379,1.89235283374277,0.0,0.0
41,0.355955421407011,1.70206920400592,0.00154971016491852,0.339735399394176,1.7020692040059,0.0,0.0
42,0.33267240587028896,1.4845691792583897,0.000609722032099088,0.314909813389838,1.48456917925837,0.0,0.0
43,0.306608669994582,1.21050248736424,0.000609722032099087,0.285950106861271,1.21050248736424,0.0,0.0
44,0.279154573949384,0.879939827517692,0.000254050846707954,0.255840745905921,0.879939827517689,0.0,0.0
45,0.248257681294016,0.665934015612092,0.000254050846707954,0.221510865177738,0.665934015612105,0.0,0.0
46,0.22337773779119197,0.508955092957988,0.000254050846707954,0.193866483507933,0.508955092958004,0.0,0.0
47,0.211879885457782,0.45623502812693395,0.000254050846707954,0.181091092026368,0.456235028126941,0.0,0.0
